No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
9317,23:05.5,host,controller,HCI_CMD,,,,Sent LE Set Scan Enable
9318,23:05.5,controller,host,HCI_EVT,,,,Rcvd Command Complete (LE Set Scan Enable)
9319,23:05.5,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9320,23:05.5,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9321,23:05.5,localhost (),remote (),L2CAP,625,Dynamically Allocated Channel,8060104d00bc15580000000047fc0000,Sent Connection oriented channel
9322,23:05.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9323,23:05.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9324,23:05.6,localhost (),remote (),L2CAP,609,Dynamically Allocated Channel,8060104e00bc15700000000047fc0000,Sent Connection oriented channel
9325,23:05.6,localhost (),remote (),L2CAP,618,Dynamically Allocated Channel,8060104f00bc15870000000047fc0000,Sent Connection oriented channel
9326,23:05.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9327,23:05.6,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9328,23:05.6,localhost (),remote (),L2CAP,639,Dynamically Allocated Channel,8060105000bc159e0000000047fc0000,Sent Connection oriented channel
9329,23:05.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9330,23:05.6,localhost (),remote (),L2CAP,642,Dynamically Allocated Channel,8060105100bc15b50000000047fc0000,Sent Connection oriented channel
9331,23:05.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9332,23:05.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9333,23:05.7,localhost (),remote (),L2CAP,628,Dynamically Allocated Channel,8060105200bc15cc0000000047fc0000,Sent Connection oriented channel
