No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
9552,23:08.0,localhost (),remote (),L2CAP,624,Dynamically Allocated Channel,806010b800bc1f0d0000000047fc0000,Sent Connection oriented channel
9553,23:08.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9554,23:08.0,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9555,23:08.0,localhost (),remote (),L2CAP,638,Dynamically Allocated Channel,806010b900bc1f240000000047fc0000,Sent Connection oriented channel
9556,23:08.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9557,23:08.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9558,23:08.1,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9559,23:08.1,localhost (),remote (),L2CAP,640,Dynamically Allocated Channel,806010ba00bc1f3b0000000047fc0000,Sent Connection oriented channel
9560,23:08.1,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9561,23:08.1,localhost (),remote (),L2CAP,635,Dynamically Allocated Channel,806010bb00bc1f530000000047fc0000,Sent Connection oriented channel
9562,23:08.1,localhost (),remote (),L2CAP,631,Dynamically Allocated Channel,806010bc00bc1f6a0000000047fc0000,Sent Connection oriented channel
9563,23:08.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9564,23:08.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9565,23:08.1,localhost (),remote (),L2CAP,640,Dynamically Allocated Channel,806010bd00bc1f810000000047fc0000,Sent Connection oriented channel
9566,23:08.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9567,23:08.2,localhost (),remote (),L2CAP,610,Dynamically Allocated Channel,806010be00bc1f980000000047fc0000,Sent Connection oriented channel
9568,23:08.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9569,23:08.2,localhost (),remote (),L2CAP,650,Dynamically Allocated Channel,806010bf00bc1fb00000000047fc0000,Sent Connection oriented channel
9570,23:08.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9571,23:08.2,localhost (),remote (),L2CAP,630,Dynamically Allocated Channel,806010c000bc1fc60000000047fc0000,Sent Connection oriented channel
9572,23:08.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9573,23:08.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9574,23:08.2,localhost (),remote (),L2CAP,616,Dynamically Allocated Channel,806010c100bc1fde0000000047fc0000,Sent Connection oriented channel
9575,23:08.3,localhost (),remote (),L2CAP,662,Dynamically Allocated Channel,806010c200bc1ff50000000047fc0000,Sent Connection oriented channel
9576,23:08.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9577,23:08.3,localhost (),remote (),L2CAP,610,Dynamically Allocated Channel,806010c300bc200c0000000047fc0000,Sent Connection oriented channel
9578,23:08.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9579,23:08.3,localhost (),remote (),L2CAP,622,Dynamically Allocated Channel,806010c400bc20230000000047fc0000,Sent Connection oriented channel
9580,23:08.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9581,23:08.3,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,806010c500bc203b0000000047fc0000,Sent Connection oriented channel
9582,23:08.3,host,controller,HCI_CMD,,,,Sent LE Set Scan Enable
9583,23:08.3,localhost (),remote (),L2CAP,622,Dynamically Allocated Channel,806010c600bc20520000000047fc0000,Sent Connection oriented channel
9584,23:08.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9585,23:08.3,controller,host,HCI_EVT,,,,Rcvd Command Complete (LE Set Scan Enable)
9586,23:08.3,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014D (opcode 0xFD4D)
9587,23:08.3,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014D [opcode 0xFD4D])
9588,23:08.3,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9589,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9590,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014D (opcode 0xFD4D)
9591,23:08.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9592,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014D [opcode 0xFD4D])
9593,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9594,23:08.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9595,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9596,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9597,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9598,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9599,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9600,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9601,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9602,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014A (opcode 0xFD4A)
9603,23:08.4,localhost (),remote (),L2CAP,637,Dynamically Allocated Channel,806010c700bc20690000000047fc0000,Sent Connection oriented channel
9604,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014A [opcode 0xFD4A])
9605,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9606,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9607,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014B (opcode 0xFD4B)
9608,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014B [opcode 0xFD4B])
9609,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9610,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9611,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014D (opcode 0xFD4D)
9612,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014D [opcode 0xFD4D])
9613,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9614,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9615,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014D (opcode 0xFD4D)
9616,23:08.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9617,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014D [opcode 0xFD4D])
9618,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9619,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9620,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014A (opcode 0xFD4A)
9621,23:08.4,localhost (),remote (),L2CAP,609,Dynamically Allocated Channel,806010c800bc20800000000047fc0000,Sent Connection oriented channel
9622,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014A [opcode 0xFD4A])
9623,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9624,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9625,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014B (opcode 0xFD4B)
9626,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014B [opcode 0xFD4B])
9627,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9628,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9629,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014D (opcode 0xFD4D)
9630,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014D [opcode 0xFD4D])
9631,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9632,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9633,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014A (opcode 0xFD4A)
9634,23:08.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9635,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014A [opcode 0xFD4A])
9636,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9637,23:08.4,localhost (),remote (),L2CAP,664,Dynamically Allocated Channel,806010c900bc20970000000047fc0000,Sent Connection oriented channel
9638,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9639,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014B (opcode 0xFD4B)
9640,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014B [opcode 0xFD4B])
9641,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9642,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9643,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x014D (opcode 0xFD4D)
9644,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x014D [opcode 0xFD4D])
9645,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9646,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9647,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9648,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9649,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9650,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9651,23:08.4,host,controller,HCI_CMD,,,,Sent Vendor Command 0x00E9 (opcode 0xFCE9)
9652,23:08.4,localhost (),remote (),L2CAP,609,Dynamically Allocated Channel,806010ca00bc20af0000000047fc0000,Sent Connection oriented channel
9653,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])
9654,23:08.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9655,23:08.4,host,controller,HCI_CMD,,,,Sent LE Set Scan Parameters
9656,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (LE Set Scan Parameters)
9657,23:08.4,host,controller,HCI_CMD,,,,Sent LE Set Scan Enable
9658,23:08.4,controller,host,HCI_EVT,,,,Rcvd Command Complete (LE Set Scan Enable)
9659,23:08.5,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9660,23:08.5,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,806010cb00bc20c60000000047fc0000,Sent Connection oriented channel
9661,23:08.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9662,23:08.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9663,23:08.5,localhost (),remote (),L2CAP,626,Dynamically Allocated Channel,806010cc00bc20dd0000000047fc0000,Sent Connection oriented channel
9664,23:08.5,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9665,23:08.5,localhost (),remote (),L2CAP,650,Dynamically Allocated Channel,806010cd00bc20f50000000047fc0000,Sent Connection oriented channel
9666,23:08.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9667,23:08.5,localhost (),remote (),L2CAP,636,Dynamically Allocated Channel,806010ce00bc210c0000000047fc0000,Sent Connection oriented channel
9668,23:08.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9669,23:08.6,localhost (),remote (),L2CAP,627,Dynamically Allocated Channel,806010cf00bc21230000000047fc0000,Sent Connection oriented channel
9670,23:08.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9671,23:08.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9672,23:08.6,localhost (),remote (),L2CAP,640,Dynamically Allocated Channel,806010d000bc213a0000000047fc0000,Sent Connection oriented channel
9673,23:08.6,localhost (),remote (),L2CAP,655,Dynamically Allocated Channel,806010d100bc21510000000047fc0000,Sent Connection oriented channel
9674,23:08.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9675,23:08.6,localhost (),remote (),L2CAP,632,Dynamically Allocated Channel,806010d200bc21680000000047fc0000,Sent Connection oriented channel
9676,23:08.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9677,23:08.6,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9678,23:08.6,localhost (),remote (),L2CAP,615,Dynamically Allocated Channel,806010d300bc217f0000000047fc0000,Sent Connection oriented channel
9679,23:08.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9680,23:08.7,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9681,23:08.7,localhost (),remote (),L2CAP,627,Dynamically Allocated Channel,806010d400bc21970000000047fc0000,Sent Connection oriented channel
9682,23:08.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9683,23:08.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9684,23:08.7,localhost (),remote (),L2CAP,613,Dynamically Allocated Channel,806010d500bc21ae0000000047fc0000,Sent Connection oriented channel
9685,23:08.7,localhost (),remote (),L2CAP,611,Dynamically Allocated Channel,806010d600bc21c50000000047fc0000,Sent Connection oriented channel
9686,23:08.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9687,23:08.7,localhost (),remote (),L2CAP,654,Dynamically Allocated Channel,806010d700bc21dd0000000047fc0000,Sent Connection oriented channel
9688,23:08.8,localhost (),remote (),L2CAP,659,Dynamically Allocated Channel,806010d800bc21f40000000047fc0000,Sent Connection oriented channel
9689,23:08.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9690,23:08.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9691,23:08.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9692,23:08.8,localhost (),remote (),L2CAP,641,Dynamically Allocated Channel,806010d900bc220b0000000047fc0000,Sent Connection oriented channel
9693,23:08.8,localhost (),remote (),L2CAP,636,Dynamically Allocated Channel,806010da00bc22230000000047fc0000,Sent Connection oriented channel
9694,23:08.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9695,23:08.8,localhost (),remote (),L2CAP,645,Dynamically Allocated Channel,806010db00bc223a0000000047fc0000,Sent Connection oriented channel
9696,23:08.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9697,23:08.9,localhost (),remote (),L2CAP,661,Dynamically Allocated Channel,806010dc00bc22510000000047fc0000,Sent Connection oriented channel
9698,23:08.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9699,23:08.9,localhost (),remote (),L2CAP,639,Dynamically Allocated Channel,806010dd00bc22680000000047fc0000,Sent Connection oriented channel
9700,23:08.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9701,23:08.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9702,23:08.9,localhost (),remote (),L2CAP,671,Dynamically Allocated Channel,806010de00bc227f0000000047fc0000,Sent Connection oriented channel
9703,23:08.9,localhost (),remote (),L2CAP,659,Dynamically Allocated Channel,806010df00bc22960000000047fc0000,Sent Connection oriented channel
9704,23:08.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9705,23:08.9,localhost (),remote (),L2CAP,646,Dynamically Allocated Channel,806010e000bc22ad0000000047fc0000,Sent Connection oriented channel
9706,23:09.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9707,23:09.0,localhost (),remote (),L2CAP,619,Dynamically Allocated Channel,806010e100bc22c50000000047fc0000,Sent Connection oriented channel
9708,23:09.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9709,23:09.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9710,23:09.0,localhost (),remote (),L2CAP,619,Dynamically Allocated Channel,806010e200bc22dc0000000047fc0000,Sent Connection oriented channel
9711,23:09.0,localhost (),remote (),L2CAP,614,Dynamically Allocated Channel,806010e300bc22f30000000047fc0000,Sent Connection oriented channel
9712,23:09.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9713,23:09.0,localhost (),remote (),L2CAP,612,Dynamically Allocated Channel,806010e400bc230b0000000047fc0000,Sent Connection oriented channel
9714,23:09.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9715,23:09.1,localhost (),remote (),L2CAP,663,Dynamically Allocated Channel,806010e500bc23220000000047fc0000,Sent Connection oriented channel
9716,23:09.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9717,23:09.1,localhost (),remote (),L2CAP,614,Dynamically Allocated Channel,806010e600bc23390000000047fc0000,Sent Connection oriented channel
9718,23:09.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9719,23:09.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9720,23:09.1,localhost (),remote (),L2CAP,661,Dynamically Allocated Channel,806010e700bc23500000000047fc0000,Sent Connection oriented channel
9721,23:09.1,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,806010e800bc23670000000047fc0000,Sent Connection oriented channel
9722,23:09.2,localhost (),remote (),L2CAP,653,Dynamically Allocated Channel,806010e900bc237f0000000047fc0000,Sent Connection oriented channel
9723,23:09.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9724,23:09.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9725,23:09.2,localhost (),remote (),L2CAP,656,Dynamically Allocated Channel,806010ea00bc23960000000047fc0000,Sent Connection oriented channel
9726,23:09.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9727,23:09.2,localhost (),remote (),L2CAP,629,Dynamically Allocated Channel,806010eb00bc23ad0000000047fc0000,Sent Connection oriented channel
9728,23:09.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9729,23:09.2,localhost (),remote (),L2CAP,627,Dynamically Allocated Channel,806010ec00bc23c40000000047fc0000,Sent Connection oriented channel
9730,23:09.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9731,23:09.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9732,23:09.2,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9733,23:09.3,localhost (),remote (),L2CAP,620,Dynamically Allocated Channel,806010ed00bc23db0000000047fc0000,Sent Connection oriented channel
9734,23:09.3,localhost (),remote (),L2CAP,609,Dynamically Allocated Channel,806010ee00bc23f20000000047fc0000,Sent Connection oriented channel
9735,23:09.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9736,23:09.3,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
9737,23:09.3,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,806010ef00bc240a0000000047fc0000,Sent Connection oriented channel
9738,23:09.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9739,23:09.3,localhost (),remote (),L2CAP,666,Dynamically Allocated Channel,806010f000bc24210000000047fc0000,Sent Connection oriented channel
9740,23:09.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9741,23:09.3,localhost (),remote (),L2CAP,633,Dynamically Allocated Channel,806010f100bc24380000000047fc0000,Sent Connection oriented channel
9742,23:09.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9743,23:09.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9744,23:09.4,localhost (),remote (),L2CAP,656,Dynamically Allocated Channel,806010f200bc24500000000047fc0000,Sent Connection oriented channel
9745,23:09.4,localhost (),remote (),L2CAP,642,Dynamically Allocated Channel,806010f300bc24670000000047fc0000,Sent Connection oriented channel
9746,23:09.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
9747,23:09.4,localhost (),remote (),L2CAP,634,Dynamically Allocated Channel,806010f400bc247e0000000047fc0000,Sent Connection oriented channel
9748,23:09.4,localhost (),remote (),L2CAP,630,Dynamically Allocated Channel,806010f500bc24950000000047fc0000,Sent Connection oriented channel
9749,23:09.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
