No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
4049,14:34.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4050,14:34.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4051,14:34.5,localhost (),remote (),L2CAP,635,Dynamically Allocated Channel,80600aad00ca1eef0000000047fc0000,Sent Connection oriented channel
4052,14:34.5,localhost (),remote (),L2CAP,614,Dynamically Allocated Channel,80600aae00ca1f030000000047fc0000,Sent Connection oriented channel
4053,14:34.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4054,14:34.5,localhost (),remote (),L2CAP,613,Dynamically Allocated Channel,80600aaf00ca1f170000000047fc0000,Sent Connection oriented channel
4055,14:34.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4056,14:34.5,localhost (),remote (),L2CAP,633,Dynamically Allocated Channel,80600ab000ca1f2b0000000047fc0000,Sent Connection oriented channel
4057,14:34.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4058,14:34.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4059,14:34.6,localhost (),remote (),L2CAP,621,Dynamically Allocated Channel,80600ab100ca1f480000000047fc0000,Sent Connection oriented channel
4060,14:34.6,localhost (),remote (),L2CAP,660,Dynamically Allocated Channel,80600ab200ca1f5c0000000047fc0000,Sent Connection oriented channel
4061,14:34.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4062,14:34.6,localhost (),remote (),L2CAP,658,Dynamically Allocated Channel,80600ab300ca1f700000000047fc0000,Sent Connection oriented channel
4063,14:34.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4064,14:34.6,localhost (),remote (),L2CAP,649,Dynamically Allocated Channel,80600ab400ca1f8e0000000047fc0000,Sent Connection oriented channel
4065,14:34.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4066,14:34.6,localhost (),remote (),L2CAP,649,Dynamically Allocated Channel,80600ab500ca1fa30000000047fc0000,Sent Connection oriented channel
4067,14:34.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4068,14:34.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4069,14:34.7,localhost (),remote (),L2CAP,652,Dynamically Allocated Channel,80600ab600ca1fb70000000047fc0000,Sent Connection oriented channel
4070,14:34.7,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,80600ab700ca1fd50000000047fc0000,Sent Connection oriented channel
4071,14:34.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4072,14:34.7,localhost (),remote (),L2CAP,628,Dynamically Allocated Channel,80600ab800ca1fe90000000047fc0000,Sent Connection oriented channel
4073,14:34.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4074,14:34.7,localhost (),remote (),L2CAP,639,Dynamically Allocated Channel,80600ab900ca1ffd0000000047fc0000,Sent Connection oriented channel
4075,14:34.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4076,14:34.8,localhost (),remote (),L2CAP,647,Dynamically Allocated Channel,80600aba00ca201b0000000047fc0000,Sent Connection oriented channel
4077,14:34.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4078,14:34.8,localhost (),remote (),L2CAP,657,Dynamically Allocated Channel,80600abb00ca202f0000000047fc0000,Sent Connection oriented channel
4079,14:34.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4080,14:34.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4081,14:34.8,localhost (),remote (),L2CAP,668,Dynamically Allocated Channel,80600abc00ca20430000000047fc0000,Sent Connection oriented channel
4082,14:34.8,localhost (),remote (),L2CAP,624,Dynamically Allocated Channel,80600abd00ca20610000000047fc0000,Sent Connection oriented channel
4083,14:34.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4084,14:34.9,localhost (),remote (),L2CAP,639,Dynamically Allocated Channel,80600abe00ca20750000000047fc0000,Sent Connection oriented channel
4085,14:34.9,localhost (),remote (),L2CAP,612,Dynamically Allocated Channel,80600abf00ca20880000000047fc0000,Sent Connection oriented channel
4086,14:34.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4087,14:34.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4088,14:34.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4089,14:34.9,localhost (),remote (),L2CAP,654,Dynamically Allocated Channel,80600ac000ca20a60000000047fc0000,Sent Connection oriented channel
4090,14:34.9,localhost (),remote (),L2CAP,636,Dynamically Allocated Channel,80600ac100ca20ba0000000047fc0000,Sent Connection oriented channel
4091,14:34.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4092,14:34.9,localhost (),remote (),L2CAP,669,Dynamically Allocated Channel,80600ac200ca20ce0000000047fc0000,Sent Connection oriented channel
4093,14:35.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4094,14:35.0,localhost (),remote (),L2CAP,650,Dynamically Allocated Channel,80600ac300ca20ec0000000047fc0000,Sent Connection oriented channel
4095,14:35.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4096,14:35.0,localhost (),remote (),L2CAP,610,Dynamically Allocated Channel,80600ac400ca21000000000047fc0000,Sent Connection oriented channel
4097,14:35.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4098,14:35.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4099,14:35.0,localhost (),remote (),L2CAP,613,Dynamically Allocated Channel,80600ac500ca21140000000047fc0000,Sent Connection oriented channel
4100,14:35.1,localhost (),remote (),L2CAP,634,Dynamically Allocated Channel,80600ac600ca21330000000047fc0000,Sent Connection oriented channel
4101,14:35.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4102,14:35.1,localhost (),remote (),L2CAP,652,Dynamically Allocated Channel,80600ac700ca21470000000047fc0000,Sent Connection oriented channel
4103,14:35.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4104,14:35.1,localhost (),remote (),L2CAP,650,Dynamically Allocated Channel,80600ac800ca215b0000000047fc0000,Sent Connection oriented channel
4105,14:35.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4106,14:35.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4107,14:35.1,localhost (),remote (),L2CAP,638,Dynamically Allocated Channel,80600ac900ca21790000000047fc0000,Sent Connection oriented channel
4108,14:35.1,localhost (),remote (),L2CAP,616,Dynamically Allocated Channel,80600aca00ca218d0000000047fc0000,Sent Connection oriented channel
4109,14:35.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4110,14:35.2,localhost (),remote (),L2CAP,664,Dynamically Allocated Channel,80600acb00ca21a10000000047fc0000,Sent Connection oriented channel
4111,14:35.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4112,14:35.2,localhost (),remote (),L2CAP,657,Dynamically Allocated Channel,80600acc00ca21b40000000047fc0000,Sent Connection oriented channel
4113,14:35.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4114,14:35.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4115,14:35.2,localhost (),remote (),L2CAP,634,Dynamically Allocated Channel,80600acd00ca21d30000000047fc0000,Sent Connection oriented channel
4116,14:35.2,localhost (),remote (),L2CAP,638,Dynamically Allocated Channel,80600ace00ca21e70000000047fc0000,Sent Connection oriented channel
4117,14:35.2,localhost (),remote (),L2CAP,629,Dynamically Allocated Channel,80600acf00ca21fa0000000047fc0000,Sent Connection oriented channel
4118,14:35.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4119,14:35.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4120,14:35.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4121,14:35.3,localhost (),remote (),L2CAP,652,Dynamically Allocated Channel,80600ad000ca22180000000047fc0000,Sent Connection oriented channel
4122,14:35.3,localhost (),remote (),L2CAP,633,Dynamically Allocated Channel,80600ad100ca222c0000000047fc0000,Sent Connection oriented channel
4123,14:35.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4124,14:35.3,localhost (),remote (),L2CAP,635,Dynamically Allocated Channel,80600ad200ca22410000000047fc0000,Sent Connection oriented channel
4125,14:35.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4126,14:35.4,localhost (),remote (),L2CAP,639,Dynamically Allocated Channel,80600ad300ca225f0000000047fc0000,Sent Connection oriented channel
4127,14:35.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4128,14:35.4,localhost (),remote (),L2CAP,652,Dynamically Allocated Channel,80600ad400ca22730000000047fc0000,Sent Connection oriented channel
4129,14:35.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4130,14:35.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4131,14:35.4,localhost (),remote (),L2CAP,645,Dynamically Allocated Channel,80600ad500ca22870000000047fc0000,Sent Connection oriented channel
4132,14:35.4,localhost (),remote (),L2CAP,637,Dynamically Allocated Channel,80600ad600ca22a50000000047fc0000,Sent Connection oriented channel
4133,14:35.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
