"No.","Time","Source","Destination","Protocol","Length","Expert Info","Bluetooth","Data Total Length","Data","CID","Payload","Info"
"259","18:21:44.870000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","665","â\234\223","Dynamically Allocated Channel","806002bb00bada3e0000000047fc0000","Sent Connection oriented channel"
"260","18:21:44.887000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"261","18:21:44.887000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"262","18:21:44.894000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","670","â\234\223","Dynamically Allocated Channel","806002bc00bada560000000047fc0000","Sent Connection oriented channel"
"263","18:21:44.917000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","635","â\234\223","Dynamically Allocated Channel","806002bd00bada6c0000000047fc0000","Sent Connection oriented channel"
"264","18:21:44.919000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"265","18:21:44.940000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","662","â\234\223","Dynamically Allocated Channel","806002be00bada840000000047fc0000","Sent Connection oriented channel"
"266","18:21:44.950000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"267","18:21:44.950000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"268","18:21:44.963000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","663","â\234\223","Dynamically Allocated Channel","806002bf00bada9b0000000047fc0000","Sent Connection oriented channel"
"269","18:21:44.986000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","666","â\234\223","Dynamically Allocated Channel","806002c000badab20000000047fc0000","Sent Connection oriented channel"
"270","18:21:44.989000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"271","18:21:45.001000","controller","host","HCI_EVT","46","â\234\223","â\234\223","","","","","Rcvd LE Meta (LE Advertising Report)"
"272","18:21:45.010000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","660","â\234\223","Dynamically Allocated Channel","806002c100badac90000000047fc0000","Sent Connection oriented channel"
"273","18:21:45.012000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"274","18:21:45.033000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","672","â\234\223","Dynamically Allocated Channel","806002c200badae10000000047fc0000","Sent Connection oriented channel"
"275","18:21:45.049000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"276","18:21:45.049000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"277","18:21:45.056000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","611","â\234\223","Dynamically Allocated Channel","806002c300badaf80000000047fc0000","Sent Connection oriented channel"
"278","18:21:45.079000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","671","â\234\223","Dynamically Allocated Channel","806002c400badb0f0000000047fc0000","Sent Connection oriented channel"
"279","18:21:45.082000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"280","18:21:45.102000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","638","â\234\223","Dynamically Allocated Channel","806002c500badb260000000047fc0000","Sent Connection oriented channel"
"281","18:21:45.106000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"282","18:21:45.125000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","637","â\234\223","Dynamically Allocated Channel","806002c600badb3d0000000047fc0000","Sent Connection oriented channel"
