"No.","Time","Source","Destination","Protocol","Length","Expert Info","Bluetooth","Data Total Length","Data","CID","Payload","Info"
"123","18:21:43.500000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","629","â\234\223","Dynamically Allocated Channel","8060028000bad4e40000000047fc0000","Sent Connection oriented channel"
"124","18:21:43.502000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"125","18:21:43.502000","host","controller","HCI_CMD","61","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"126","18:21:43.505000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"127","18:21:43.505000","host","controller","HCI_CMD","61","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"128","18:21:43.508000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"129","18:21:43.508000","host","controller","HCI_CMD","61","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"130","18:21:43.512000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"131","18:21:43.512000","host","controller","HCI_CMD","18","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"132","18:21:43.515000","controller","host","HCI_EVT","9","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"133","18:21:43.515000","host","controller","HCI_CMD","30","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"134","18:21:43.518000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"135","18:21:43.518000","host","controller","HCI_CMD","11","","â\234\223","","","","","Sent LE Set Scan Parameters"
"136","18:21:43.520000","controller","host","HCI_EVT","7","","â\234\223","","","","","Rcvd Command Complete (LE Set Scan Parameters)"
